island,year,crop,yield_tonnes,price_usd_per_tonne
Cuba,2015,sugarcane,47019.5,37.04
Cuba,2016,sugarcane,44780.2,32.11
Cuba,2017,sugarcane,41407.4,40.14
Cuba,2018,sugarcane,38503.2,40.57
Cuba,2019,sugarcane,51089.4,34.66
Cuba,2020,sugarcane,44682.2,42.54
Cuba,2021,sugarcane,40022.6,42.77
Cuba,2022,sugarcane,55293.2,40.75
Cuba,2023,sugarcane,52697.3,38.52
Cuba,2024,sugarcane,50553.9,37.92
Cuba,2025,sugarcane,47253.9,37.8
Dominican Republic,2015,sugarcane,37314.6,30.87
Dominican Republic,2016,sugarcane,43846.9,32.21
Dominican Republic,2017,sugarcane,55454.0,37.69
Dominican Republic,2018,sugarcane,47858.2,34.23
Dominican Republic,2019,sugarcane,41236.1,36.59
Dominican Republic,2020,sugarcane,51559.3,37.18
Dominican Republic,2021,sugarcane,42397.4,42.9
Dominican Republic,2022,sugarcane,38554.7,40.69
Dominican Republic,2023,sugarcane,56933.4,43.73
Dominican Republic,2024,sugarcane,37882.0,40.22
Dominican Republic,2025,sugarcane,52337.9,42.94
Jamaica,2015,sugarcane,40054.9,37.79
Jamaica,2016,sugarcane,31860.2,36.61
Jamaica,2017,sugarcane,35842.7,38.15
Jamaica,2018,sugarcane,33175.9,38.78
Jamaica,2019,sugarcane,33968.0,39.3
Jamaica,2020,sugarcane,45853.6,37.19
Jamaica,2021,sugarcane,38762.0,41.13
Jamaica,2022,sugarcane,41359.0,37.36
Jamaica,2023,sugarcane,47529.5,38.91
Jamaica,2024,sugarcane,34305.2,37.88
Jamaica,2025,sugarcane,35001.6,38.15
Barbados,2015,sugarcane,27473.9,32.05
Barbados,2016,sugarcane,29040.8,37.31
Barbados,2017,sugarcane,36579.5,35.84
Barbados,2018,sugarcane,29637.0,41.04
Barbados,2019,sugarcane,35958.5,41.77
Barbados,2020,sugarcane,30482.1,34.19
Barbados,2021,sugarcane,28287.7,35.12
Barbados,2022,sugarcane,30574.1,37.53
Barbados,2023,sugarcane,31156.0,42.14
Barbados,2024,sugarcane,36128.7,39.55
Barbados,2025,sugarcane,29851.2,46.7
Trinidad and Tobago,2015,sugarcane,26547.0,38.49
Trinidad and Tobago,2016,sugarcane,30774.6,31.48
Trinidad and Tobago,2017,sugarcane,35492.6,35.66
Trinidad and Tobago,2018,sugarcane,32044.4,33.97
Trinidad and Tobago,2019,sugarcane,32644.6,38.74
Trinidad and Tobago,2020,sugarcane,38590.9,40.54
Trinidad and Tobago,2021,sugarcane,30745.2,40.44
Trinidad and Tobago,2022,sugarcane,35202.8,38.68
Trinidad and Tobago,2023,sugarcane,24251.8,43.76
Trinidad and Tobago,2024,sugarcane,29283.1,39.64
Trinidad and Tobago,2025,sugarcane,35026.6,42.05
Guadeloupe,2015,sugarcane,25933.3,39.15
Guadeloupe,2016,sugarcane,25687.3,35.14
Guadeloupe,2017,sugarcane,30543.5,36.01
Guadeloupe,2018,sugarcane,26971.1,37.45
Guadeloupe,2019,sugarcane,24867.6,36.28
Guadeloupe,2020,sugarcane,24573.4,41.2
Guadeloupe,2021,sugarcane,26788.9,43.24
Guadeloupe,2022,sugarcane,30492.6,37.32
Guadeloupe,2023,sugarcane,24083.9,40.11
Guadeloupe,2024,sugarcane,24431.6,36.73
Guadeloupe,2025,sugarcane,25021.4,39.52
Saint Kitts and Nevis,2015,sugarcane,17228.2,31.14
Saint Kitts and Nevis,2016,sugarcane,22610.4,34.82
Saint Kitts and Nevis,2017,sugarcane,20534.2,39.04
Saint Kitts and Nevis,2018,sugarcane,18818.1,37.51
Saint Kitts and Nevis,2019,sugarcane,19074.1,41.91
Saint Kitts and Nevis,2020,sugarcane,23052.9,36.71
Saint Kitts and Nevis,2021,sugarcane,19106.0,43.8
Saint Kitts and Nevis,2022,sugarcane,18453.5,37.87
Saint Kitts and Nevis,2023,sugarcane,16288.9,45.37
Saint Kitts and Nevis,2024,sugarcane,20511.6,41.75
Saint Kitts and Nevis,2025,sugarcane,18938.3,37.76
Haiti,2015,sugarcane,16482.5,30.97
Haiti,2016,sugarcane,12755.6,33.63
Haiti,2017,sugarcane,16031.2,35.66
Haiti,2018,sugarcane,16169.2,34.11
Haiti,2019,sugarcane,13371.9,36.07
Haiti,2020,sugarcane,15377.4,34.51
Haiti,2021,sugarcane,19532.4,42.52
Haiti,2022,sugarcane,11430.7,42.57
Haiti,2023,sugarcane,18835.2,45.13
Haiti,2024,sugarcane,12877.3,37.55
Haiti,2025,sugarcane,18405.1,41.65
Puerto Rico,2015,sugarcane,8256.8,33.14
Puerto Rico,2016,sugarcane,8368.7,34.44
Puerto Rico,2017,sugarcane,8658.8,40.29
Puerto Rico,2018,sugarcane,11593.8,38.17
Puerto Rico,2019,sugarcane,12463.5,42.26
Puerto Rico,2020,sugarcane,8286.4,38.7
Puerto Rico,2021,sugarcane,10208.5,43.82
Puerto Rico,2022,sugarcane,10931.4,38.37
Puerto Rico,2023,sugarcane,10284.0,36.74
Puerto Rico,2024,sugarcane,11058.3,38.45
Puerto Rico,2025,sugarcane,9336.5,44.76
Martinique,2015,sugarcane,4791.1,39.14
Martinique,2016,sugarcane,4378.9,39.24
Martinique,2017,sugarcane,5095.4,35.42
Martinique,2018,sugarcane,4874.0,33.02
Martinique,2019,sugarcane,4361.4,36.49
Martinique,2020,sugarcane,6533.3,39.87
Martinique,2021,sugarcane,5183.7,43.62
Martinique,2022,sugarcane,5371.3,43.18
Martinique,2023,sugarcane,5400.0,36.86
Martinique,2024,sugarcane,4378.5,46.22
Martinique,2025,sugarcane,5539.7,43.26
Trinidad and Tobago,2015,cocoa,651.3,2390.24
Trinidad and Tobago,2016,cocoa,752.4,2423.59
Trinidad and Tobago,2017,cocoa,812.8,2475.33
Trinidad and Tobago,2018,cocoa,867.8,2496.27
Trinidad and Tobago,2019,cocoa,698.3,2596.28
Trinidad and Tobago,2020,cocoa,703.0,2770.44
Trinidad and Tobago,2021,cocoa,636.1,2665.48
Trinidad and Tobago,2022,cocoa,712.3,2732.18
Trinidad and Tobago,2023,cocoa,960.1,3200.26
Trinidad and Tobago,2024,cocoa,925.1,2852.67
Trinidad and Tobago,2025,cocoa,660.8,2880.33
Grenada,2015,cocoa,745.3,2327.39
Grenada,2016,cocoa,736.4,2413.23
Grenada,2017,cocoa,806.0,2625.78
Grenada,2018,cocoa,861.6,2681.12
Grenada,2019,cocoa,762.5,2568.59
Grenada,2020,cocoa,704.3,3010.92
Grenada,2021,cocoa,728.4,3081.46
Grenada,2022,cocoa,729.6,2692.03
Grenada,2023,cocoa,547.7,3212.49
Grenada,2024,cocoa,712.5,2933.7
Grenada,2025,cocoa,722.0,3030.21
Dominican Republic,2015,cocoa,557.6,2536.71
Dominican Republic,2016,cocoa,632.4,2347.05
Dominican Republic,2017,cocoa,668.0,2828.82
Dominican Republic,2018,cocoa,596.9,2470.91
Dominican Republic,2019,cocoa,642.3,2996.32
Dominican Republic,2020,cocoa,737.6,3073.17
Dominican Republic,2021,cocoa,512.6,2647.67
Dominican Republic,2022,cocoa,771.7,2636.28
Dominican Republic,2023,cocoa,610.8,2698.86
Dominican Republic,2024,cocoa,665.7,2969.67
Dominican Republic,2025,cocoa,613.0,3065.35
Haiti,2015,cocoa,597.5,2349.42
Haiti,2016,cocoa,571.5,2501.18
Haiti,2017,cocoa,576.3,2898.16
Haiti,2018,cocoa,493.7,2492.87
Haiti,2019,cocoa,437.2,2791.25
Haiti,2020,cocoa,485.3,2507.42
Haiti,2021,cocoa,500.1,2964.56
Haiti,2022,cocoa,647.7,2598.95
Haiti,2023,cocoa,552.9,2951.9
Haiti,2024,cocoa,643.8,3183.62
Haiti,2025,cocoa,428.8,2788.56
Jamaica,2015,cocoa,405.1,2671.36
Jamaica,2016,cocoa,513.5,2495.61
Jamaica,2017,cocoa,514.3,2564.69
Jamaica,2018,cocoa,421.8,2463.51
Jamaica,2019,cocoa,477.8,2932.06
Jamaica,2020,cocoa,510.5,3046.43
Jamaica,2021,cocoa,447.3,2755.17
Jamaica,2022,cocoa,441.3,3078.24
Jamaica,2023,cocoa,546.6,2693.87
Jamaica,2024,cocoa,397.8,2796.68
Jamaica,2025,cocoa,456.7,2980.73
Cuba,2015,cocoa,385.3,2472.66
Cuba,2016,cocoa,332.6,2366.97
Cuba,2017,cocoa,477.3,2889.23
Cuba,2018,cocoa,352.1,2610.65
Cuba,2019,cocoa,353.0,2794.1
Cuba,2020,cocoa,416.6,2784.15
Cuba,2021,cocoa,396.5,2643.88
Cuba,2022,cocoa,365.6,2575.6
Cuba,2023,cocoa,474.5,2767.91
Cuba,2024,cocoa,362.7,3273.67
Cuba,2025,cocoa,376.7,2821.51
Saint Lucia,2015,cocoa,296.1,2758.82
Saint Lucia,2016,cocoa,358.3,2809.75
Saint Lucia,2017,cocoa,374.5,2897.93
Saint Lucia,2018,cocoa,270.4,2540.21
Saint Lucia,2019,cocoa,345.1,2744.03
Saint Lucia,2020,cocoa,236.7,2491.59
Saint Lucia,2021,cocoa,311.6,2632.78
Saint Lucia,2022,cocoa,373.3,2938.13
Saint Lucia,2023,cocoa,384.2,2945.39
Saint Lucia,2024,cocoa,303.9,3038.23
Saint Lucia,2025,cocoa,375.7,3257.61
Dominica,2015,cocoa,225.4,2519.49
Dominica,2016,cocoa,226.4,2588.21
Dominica,2017,cocoa,231.2,2847.06
Dominica,2018,cocoa,223.5,2462.35
Dominica,2019,cocoa,251.0,2423.05
Dominica,2020,cocoa,282.2,2711.25
Dominica,2021,cocoa,214.3,2610.81
Dominica,2022,cocoa,192.7,3136.05
Dominica,2023,cocoa,260.1,2999.54
Dominica,2024,cocoa,312.1,2662.19
Dominica,2025,cocoa,302.1,2707.33
Suriname,2015,cocoa,138.7,2647.85
Suriname,2016,cocoa,172.4,2535.32
Suriname,2017,cocoa,131.1,2760.57
Suriname,2018,cocoa,186.3,2643.35
Suriname,2019,cocoa,202.1,2951.08
Suriname,2020,cocoa,132.8,2571.36
Suriname,2021,cocoa,149.6,2931.97
Suriname,2022,cocoa,202.2,2888.5
Suriname,2023,cocoa,147.7,3234.57
Suriname,2024,cocoa,176.4,2732.32
Suriname,2025,cocoa,179.8,2672.55
Saint Vincent and the Grenadines,2015,cocoa,70.0,2318.59
Saint Vincent and the Grenadines,2016,cocoa,64.0,2519.07
Saint Vincent and the Grenadines,2017,cocoa,73.8,2740.86
Saint Vincent and the Grenadines,2018,cocoa,83.4,2813.19
Saint Vincent and the Grenadines,2019,cocoa,93.6,2655.82
Saint Vincent and the Grenadines,2020,cocoa,91.9,2524.99
Saint Vincent and the Grenadines,2021,cocoa,71.4,2487.61
Saint Vincent and the Grenadines,2022,cocoa,75.0,2795.52
Saint Vincent and the Grenadines,2023,cocoa,63.1,2602.96
Saint Vincent and the Grenadines,2024,cocoa,78.8,3091.38
Saint Vincent and the Grenadines,2025,cocoa,74.9,3153.88
Saint Lucia,2015,banana,13324.1,493.3
Saint Lucia,2016,banana,13063.2,468.43
Saint Lucia,2017,banana,10694.6,504.93
Saint Lucia,2018,banana,12600.0,444.44
Saint Lucia,2019,banana,10840.9,525.27
Saint Lucia,2020,banana,11262.2,507.63
Saint Lucia,2021,banana,15102.9,544.6
Saint Lucia,2022,banana,10203.0,546.56
Saint Lucia,2023,banana,11137.7,532.2
Saint Lucia,2024,banana,12934.5,474.14
Saint Lucia,2025,banana,13883.9,586.29
Dominica,2015,banana,10297.7,466.16
Dominica,2016,banana,12004.6,409.74
Dominica,2017,banana,9734.8,501.58
Dominica,2018,banana,8567.3,518.02
Dominica,2019,banana,9941.1,490.55
Dominica,2020,banana,8928.6,446.71
