country,year,gdp_millions_usd,unemployment_pct,tourism_pct_gdp,agriculture_pct_gdp
Anguilla,2015,344.35,21.1,22.0,14.6
Anguilla,2016,337.18,19.7,23.5,14.5
Anguilla,2017,350.8,20.5,21.4,14.7
Anguilla,2018,379.73,20.4,22.1,14.9
Anguilla,2019,372.49,19.9,23.0,14.2
Anguilla,2020,344.75,27.3,5.8,30.2
Anguilla,2021,365.58,22.8,12.0,24.4
Anguilla,2022,387.85,22.9,16.7,18.8
Anguilla,2023,430.56,18.0,22.1,14.4
Anguilla,2024,410.02,20.5,22.4,13.8
Anguilla,2025,443.95,20.0,22.8,15.3
Antigua and Barbuda,2015,1549.55,16.8,27.8,13.6
Antigua and Barbuda,2016,1568.35,16.3,25.6,13.0
Antigua and Barbuda,2017,1667.67,16.6,27.1,14.0
Antigua and Barbuda,2018,1619.98,19.3,25.5,14.5
Antigua and Barbuda,2019,1713.81,16.8,26.8,13.2
Antigua and Barbuda,2020,1427.79,22.5,6.9,28.9
Antigua and Barbuda,2021,1531.92,21.2,13.2,25.1
Antigua and Barbuda,2022,1803.07,21.3,21.0,15.6
Antigua and Barbuda,2023,1814.68,18.4,27.4,12.9
Antigua and Barbuda,2024,1845.77,16.4,26.7,13.5
Antigua and Barbuda,2025,2057.21,16.4,25.9,13.5
Aruba,2015,2906.25,17.7,28.4,12.5
Aruba,2016,3060.41,16.0,27.1,12.6
Aruba,2017,3015.47,16.4,26.2,13.5
Aruba,2018,3258.85,18.1,27.9,13.7
Aruba,2019,3168.49,16.8,29.6,12.1
Aruba,2020,2675.81,25.0,7.2,26.6
Aruba,2021,3001.28,22.0,14.2,23.1
Aruba,2022,3334.01,20.4,21.1,16.5
Aruba,2023,3425.8,17.8,26.4,12.9
Aruba,2024,3431.88,18.2,28.1,13.7
Aruba,2025,3557.86,15.8,27.2,13.6
Bahamas,2015,11913.78,11.4,38.9,10.4
Bahamas,2016,12722.87,12.4,39.6,9.7
Bahamas,2017,12551.29,12.1,39.0,10.4
Bahamas,2018,13256.5,12.1,40.6,10.7
Bahamas,2019,13474.02,13.0,40.7,9.5
Bahamas,2020,9776.43,18.6,10.8,21.0
Bahamas,2021,11333.01,14.2,23.2,19.3
Bahamas,2022,13033.48,13.4,30.6,12.8
Bahamas,2023,15024.22,11.6,42.4,10.6
Bahamas,2024,16423.78,13.4,37.2,9.2
Bahamas,2025,14506.45,11.8,40.9,10.1
Barbados,2015,4992.19,15.6,31.7,12.6
Barbados,2016,5390.03,17.9,30.0,12.5
