player,country,matches,runs,wickets,batting_average
Brian Lara,Trinidad and Tobago,171,6568,21,23.48
Vivian Richards,Antigua and Barbuda,116,8025,18,34.78
Curtly Ambrose,Antigua and Barbuda,127,1421,110,7.45
Courtney Walsh,Jamaica,142,2377,293,8.24
Malcolm Marshall,Barbados,100,1868,267,12.41
Clive Lloyd,Guyana,100,8700,26,57.7
Garfield Sobers,Barbados,143,3740,147,15.21
George Headley,Jamaica,96,9408,5,57.64
Michael Holding,Jamaica,138,2700,230,12.01
Joel Garner,Barbados,87,3071,195,17.98
Desmond Haynes,Barbados,153,5448,7,17.35
Gordon Greenidge,Barbados,119,8423,27,45.18
Lance Gibbs,Guyana,81,630,392,5.09
Rohan Kanhai,Guyana,133,3760,11,16.92
Andy Roberts,Antigua and Barbuda,161,2715,384,7.88
Chris Gayle,Jamaica,95,7149,7,49.84
Shivnarine Chanderpaul,Guyana,44,4448,12,56.96
Dwayne Bravo,Trinidad and Tobago,58,3114,207,24.98
Kieron Pollard,Trinidad and Tobago,66,7556,135,52.75
Jason Holder,Barbados,88,4736,243,25.46
Shai Hope,Barbados,102,11897,14,67.57
Nicholas Pooran,Trinidad and Tobago,102,6048,2,36.61
Shimron Hetmyer,Guyana,105,9938,9,58.52
Alzarri Joseph,Antigua and Barbuda,35,1445,223,23.02
Kemar Roach,Barbados,52,534,455,6.42
Shannon Gabriel,Trinidad and Tobago,77,1948,366,15.52
Sunil Narine,Trinidad and Tobago,62,2392,337,18.17
Andre Russell,Jamaica,118,6881,82,38.86
Darren Bravo,Trinidad and Tobago,86,4876,2,27.51
Kraigg Brathwaite,Barbados,50,6697,22,66.1
