athlete,country,event,time_or_distance,year
Usain Bolt,Jamaica,100m,9.58,2009
Usain Bolt,Jamaica,200m,19.19,2009
Shelly-Ann Fraser-Pryce,Jamaica,100m,10.6,2022
Shelly-Ann Fraser-Pryce,Jamaica,200m,21.79,2022
Elaine Thompson-Herah,Jamaica,100m,10.54,2021
Elaine Thompson-Herah,Jamaica,200m,21.53,2021
Yohan Blake,Jamaica,100m,9.69,2012
Yohan Blake,Jamaica,200m,19.26,2012
Asafa Powell,Jamaica,100m,9.72,2008
Veronica Campbell-Brown,Jamaica,200m,21.74,2008
Shericka Jackson,Jamaica,200m,21.45,2022
Shericka Jackson,Jamaica,100m,10.65,2022
Kirani James,Grenada,400m,43.74,2012
Kirani James,Grenada,400m,43.63,2022
Machel Cedenio,Trinidad and Tobago,400m,44.01,2019
Jereem Richards,Trinidad and Tobago,200m,19.97,2018
Deon Lendore,Trinidad and Tobago,400m,44.36,2019
Ato Boldon,Trinidad and Tobago,100m,9.86,1998
Ato Boldon,Trinidad and Tobago,200m,19.8,1997
Hasely Crawford,Trinidad and Tobago,100m,10.07,1976
Kim Collins,Saint Kitts and Nevis,100m,9.93,2003
Pauline Davis-Thompson,Bahamas,200m,22.27,2000
Tonique Williams-Darling,Bahamas,400m,49.07,2004
Shaunae Miller-Uibo,Bahamas,400m,48.36,2022
Shaunae Miller-Uibo,Bahamas,200m,21.74,2022
Steven Gardiner,Bahamas,400m,43.85,2021
Obadele Thompson,Barbados,100m,9.87,1998
Ryan Brathwaite,Barbados,110m hurdles,13.14,2009
Alyssa Chapman,Haiti,100m,11.3,2021
Marlena Wesh,Haiti,400m,51.88,2016
Felix Sanchez,Dominican Republic,400m hurdles,47.25,2003
Luguellin Santos,Dominican Republic,400m,44.11,2012
Marileidy Paulino,Dominican Republic,400m,48.76,2024
Jasmine Camacho-Quinn,Puerto Rico,100m hurdles,12.26,2021
Javier Culson,Puerto Rico,400m hurdles,47.72,2012
Aymara Alcelays,Cuba,100m hurdles,12.58,2016
Dayron Robles,Cuba,110m hurdles,12.87,2008
Javier Sotomayor,Cuba,high jump,2.45,1993
Ana Fidelia Quirot,Cuba,800m,115.86,1997
Iván Pedroso,Cuba,long jump,8.71,1995
