country,year,visitor_count,revenue_usd,hotel_occupancy_pct
Anguilla,2015,258365,195241263.2,63.4
Anguilla,2016,240394,210222149.06,67.6
Anguilla,2017,289942,222101370.84,64.9
Anguilla,2018,241748,190499841.48,65.8
Anguilla,2019,248183,194751681.93,67.3
Anguilla,2020,72650,57270721.5,20
Anguilla,2021,174299,131175684.41,37.9
Anguilla,2022,253507,204914778.24,49.7
Anguilla,2023,344016,277865163.36,61.5
Anguilla,2024,286769,256093320.07,66.8
Anguilla,2025,348956,304767701.72,66.1
Antigua and Barbuda,2015,835160,737454631.6,67.8
Antigua and Barbuda,2016,833571,772261852.95,71.1
Antigua and Barbuda,2017,809758,762816328.74,62.4
Antigua and Barbuda,2018,764113,662394277.44,62.7
Antigua and Barbuda,2019,786130,654673341.4,64.9
Antigua and Barbuda,2020,222646,196046482.38,20
Antigua and Barbuda,2021,452814,390696975.48,39.6
Antigua and Barbuda,2022,751793,695220576.75,51.0
Antigua and Barbuda,2023,981141,828161495.28,66.0
Antigua and Barbuda,2024,1064405,990258547.7,67.9
Antigua and Barbuda,2025,1018199,984659524.94,70.2
Aruba,2015,934971,796623341.13,66.0
Aruba,2016,972585,861379631.1,72.8
Aruba,2017,1155747,1046135954.52,69.7
Aruba,2018,1062697,1081751157.21,67.5
Aruba,2019,1056799,943055723.63,68.7
Aruba,2020,271129,259172211.1,20
Aruba,2021,633330,561909375.9,40.4
Aruba,2022,970213,837381138.17,50.5
Aruba,2023,1123831,1083328130.76,71.2
Aruba,2024,1246274,1069228315.56,66.7
Aruba,2025,1454789,1375459355.83,73.1
Bahamas,2015,2716467,2818714817.88,75.1
Bahamas,2016,2687297,3113233574.5,69.8
Bahamas,2017,2739651,2905838229.66,71.7
Bahamas,2018,2694735,3380221689.3,76.9
Bahamas,2019,2640997,3037489879.61,68.8
Bahamas,2020,789928,975734864.16,20
Bahamas,2021,1676606,1970112646.36,37.7
Bahamas,2022,2572466,2981642441.96,60.6
Bahamas,2023,3122583,3232279340.79,70.5
Bahamas,2024,2808841,3507371668.29,76.9
Bahamas,2025,3508699,3879673745.27,67.4
Barbados,2015,1363402,1448151068.32,64.2
Barbados,2016,1283171,1143305361.0,71.6
Barbados,2017,1409535,1272161718.9,68.5
Barbados,2018,1378785,1281153234.15,72.8
Barbados,2019,1374174,1262591071.2,69.2
Barbados,2020,379206,347625724.32,20
Barbados,2021,907655,911494380.65,37.4
Barbados,2022,1215104,1094930214.4,52.6
Barbados,2023,1489767,1478176612.74,65.8
Barbados,2024,1480902,1319987188.68,70.2
Barbados,2025,1519287,1601419655.22,72.7
Bermuda,2015,672754,576940375.32,69.1
Bermuda,2016,719519,603280705.55,71.9
Bermuda,2017,808555,727739927.75,70.3
Bermuda,2018,877830,745242556.8,62.9
Bermuda,2019,826099,736194645.83,66.9
Bermuda,2020,227479,213006786.02,20
Bermuda,2021,439837,390298158.69,36.0
Bermuda,2022,789017,678168001.67,51.1
Bermuda,2023,918530,818281635.8,64.9
Bermuda,2024,895305,878840341.05,66.6
Bermuda,2025,1059555,968549821.05,62.4
Bonaire,2015,279956,249474390.72,70.7
Bonaire,2016,283849,253542442.27,62.2
Bonaire,2017,264086,207888499.2,64.7
Bonaire,2018,243634,198510546.86,70.9
Bonaire,2019,264221,233159179.24,65.3
Bonaire,2020,70546,64293508.02,20
Bonaire,2021,164421,143287968.87,34.2
Bonaire,2022,230192,210227447.84,53.3
Bonaire,2023,313139,274438150.99,61.1
Bonaire,2024,323914,270623668.72,69.5
Bonaire,2025,298279,272015534.05,61.3
British Virgin Islands,2015,369839,322599464.53,68.1
British Virgin Islands,2016,385816,305149590.72,70.3
British Virgin Islands,2017,398174,347279399.32,67.5
British Virgin Islands,2018,427547,372102705.04,66.4
British Virgin Islands,2019,494739,398447948.43,68.5
British Virgin Islands,2020,107787,90342751.92,20
British Virgin Islands,2021,247139,203773519.67,37.9
British Virgin Islands,2022,347477,294959326.22,57.2
British Virgin Islands,2023,555055,434574761.7,63.2
British Virgin Islands,2024,479373,445898383.41,70.2
British Virgin Islands,2025,567332,472961995.12,62.6
Cayman Islands,2015,972088,936801205.6,68.9
Cayman Islands,2016,1035399,988309053.48,62.4
Cayman Islands,2017,1026604,912486699.36,69.5
Cayman Islands,2018,1084341,930657350.07,63.5
Cayman Islands,2019,912934,854378413.24,65.2
Cayman Islands,2020,265259,256319771.7,20
Cayman Islands,2021,602918,531948522.22,37.2
Cayman Islands,2022,955951,946487085.1,50.6
Cayman Islands,2023,1095530,969149659.2,62.3
Cayman Islands,2024,1217373,1158196498.47,65.1
Cayman Islands,2025,1237737,1157989605.09,66.9
Cuba,2015,3529282,4392085570.54,81.7
Cuba,2016,4519404,6202430049.6,81.1
Cuba,2017,4323961,5466697413.08,72.4
Cuba,2018,4159361,6108104815.72,80.7
Cuba,2019,4867827,7148452627.77,73.4
Cuba,2020,1080870,1353206005.2,20.1
Cuba,2021,2835331,3783834279.43,43.2
Cuba,2022,3550983,5244553322.19,65.2
Cuba,2023,5526875,7983736743.75,81.7
Cuba,2024,4500619,6410456672.65,74.9
Cuba,2025,5737658,8274907744.18,81.5
Curacao,2015,644747,543373429.19,69.9
Curacao,2016,559872,531766425.6,70.6
Curacao,2017,593632,557996271.04,66.4
Curacao,2018,623422,583660144.84,63.9
Curacao,2019,595176,493847286.0,65.0
Curacao,2020,187584,181309315.2,20
Curacao,2021,402622,348775333.72,39.6
Curacao,2022,585848,563386587.68,50.2
Curacao,2023,827994,684891796.98,71.7
Curacao,2024,719108,585907625.16,66.1
Curacao,2025,822783,700237699.98,67.9
