island,year,month,avg_temp_celsius,rainfall_mm,hurricane_category
Anguilla,2015,January,25.6,38.0,0
Anguilla,2015,February,25.9,30.1,0
Anguilla,2015,March,25.4,21.1,0
Anguilla,2015,April,26.4,37.3,0
Anguilla,2015,May,27.2,99.8,0
Anguilla,2015,June,28.0,136.8,0
Anguilla,2015,July,29.1,164.7,0
Anguilla,2015,August,29.5,177.7,0
Anguilla,2015,September,28.5,146.9,0
Anguilla,2015,October,27.8,148.5,0
Anguilla,2015,November,26.7,119.1,0
Anguilla,2015,December,25.4,72.7,0
Anguilla,2016,January,26.3,31.9,0
Anguilla,2016,February,26.4,28.9,0
Anguilla,2016,March,26.5,20.6,0
Anguilla,2016,April,26.1,32.4,0
Anguilla,2016,May,28.1,94.7,0
Anguilla,2016,June,29.1,136.5,0
Anguilla,2016,July,28.8,119.9,0
Anguilla,2016,August,28.3,128.7,0
Anguilla,2016,September,28.3,192.3,0
Anguilla,2016,October,28.6,181.8,0
Anguilla,2016,November,27.6,116.2,0
Anguilla,2016,December,25.1,72.9,0
Anguilla,2017,January,25.1,33.6,0
Anguilla,2017,February,25.5,23.0,0
Anguilla,2017,March,27.1,20.7,0
Anguilla,2017,April,26.1,37.3,0
Anguilla,2017,May,28.1,68.6,0
Anguilla,2017,June,27.7,121.5,0
Anguilla,2017,July,29.2,144.7,0
Anguilla,2017,August,27.9,132.6,0
Anguilla,2017,September,29.0,150.6,0
Anguilla,2017,October,27.9,150.5,0
Anguilla,2017,November,27.4,88.8,0
Anguilla,2017,December,25.6,65.3,0
Anguilla,2018,January,25.9,30.9,0
Anguilla,2018,February,26.1,18.9,0
Anguilla,2018,March,25.7,16.4,0
Anguilla,2018,April,26.5,26.4,0
Anguilla,2018,May,26.9,75.2,0
Anguilla,2018,June,28.1,151.7,0
Anguilla,2018,July,27.6,245.3,1
Anguilla,2018,August,29.9,189.0,0
Anguilla,2018,September,28.8,187.8,0
Anguilla,2018,October,27.0,117.9,0
Anguilla,2018,November,27.6,116.5,0
Anguilla,2018,December,27.0,47.6,0
Anguilla,2019,January,25.1,41.8,0
Anguilla,2019,February,25.7,22.6,0
Anguilla,2019,March,25.9,16.7,0
Anguilla,2019,April,26.1,35.2,0
Anguilla,2019,May,27.3,89.1,0
Anguilla,2019,June,28.8,112.9,0
Anguilla,2019,July,27.9,147.2,0
Anguilla,2019,August,29.3,134.2,0
Anguilla,2019,September,28.6,191.6,0
Anguilla,2019,October,27.8,187.9,0
Anguilla,2019,November,27.2,116.8,0
Anguilla,2019,December,26.4,49.5,0
Anguilla,2020,January,25.5,36.1,0
Anguilla,2020,February,25.0,25.1,0
Anguilla,2020,March,26.2,15.6,0
Anguilla,2020,April,26.0,41.4,0
Anguilla,2020,May,27.9,80.3,0
Anguilla,2020,June,28.2,149.0,0
Anguilla,2020,July,28.5,161.7,0
Anguilla,2020,August,28.5,158.1,0
Anguilla,2020,September,27.6,136.3,0
Anguilla,2020,October,27.6,171.6,0
Anguilla,2020,November,26.2,96.1,0
Anguilla,2020,December,26.0,60.7,0
Anguilla,2021,January,25.3,35.7,0
Anguilla,2021,February,25.6,26.2,0
Anguilla,2021,March,26.6,15.7,0
Anguilla,2021,April,27.3,31.2,0
Anguilla,2021,May,27.9,96.2,0
Anguilla,2021,June,27.7,135.4,0
Anguilla,2021,July,28.3,172.7,0
Anguilla,2021,August,28.6,167.6,0
